"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"6293","경기도 화성시 동탄구 청계동","519","0519","0000","더샵센트럴시티","84.3920","202605","09","153,000","-","12","개인","개인","2015","동탄대로시범길 19","-","중개거래","경기 화성시 동탄구","-"
"6294","서울특별시 구로구 개봉동","475","0475","0000","영화","143.0900","202605","09","76,000","-","13","개인","개인","1998","경인로40길 11","-","중개거래","서울 구로구","-"
"6295","인천광역시 미추홀구 도화동","106-4","0106","0004","삼덕진주","61.6250","202605","09","17,800","-","1","개인","개인","1984","석정로 311","-","중개거래","인천 미추홀구","-"
"6296","대전광역시 서구 만년동","281","0281","0000","상록수","43.2000","202605","09","21,700","107","14","개인","개인","1995","만년남로 8","-","중개거래","대전 서구","26.05.12"
"6297","서울특별시 관악구 신림동","1714","1714","0000","삼성산주공(주공3단지)","83.2100","202605","09","59,000","-","5","개인","개인","2000","호암로 399","-","중개거래","서울 관악구","-"
"6298","서울특별시 노원구 중계동","369","0369","0000","주공2","44.5200","202605","09","36,000","-","3","개인","개인","1992","한글비석로14길 8","-","중개거래","서울 노원구","-"
"6299","서울특별시 노원구 하계동","274","0274","0000","청솔(시영7)","39.7800","202605","09","43,800","-","8","개인","개인","1989","공릉로59길 25","-","중개거래","서울 노원구","-"
"6300","경기도 화성시 동탄구 영천동","716","0716","0000","동탄역반도유보라아이비파크2.0","74.3640","202605","09","63,000","-","21","개인","개인","2016","동탄순환대로26길 55","-","중개거래","경기 화성시 동탄구","-"
"6301","경기도 화성시 동탄구 산척동","729","0729","0000","호수공원역 센트럴시티","84.5200","202605","09","98,000","-","15","개인","개인","2019","동탄대로6길 20","-","중개거래","경기 화성시 동탄구","-"
"6302","경기도 광명시 광명동","787-4","0787","0004","광명아크포레자이위브","59.9915","202605","09","105,200","-","26","개인","개인","2021","새터로 44-7","-","중개거래","경기 광명시","-"
"6303","경기도 고양시 일산서구 일산동","1066","1066","0000","후곡마을(금호)","83.7700","202605","09","55,500","-","3","개인","개인","1995","후곡로 36","-","중개거래","경기 고양시 일산서구","-"
